url,page_score,audit_id,title,description,wcag,category,severity,status,raw_score
"https://www.dlsu.edu.ph/research-overview/overview/","77.0","list","Lists do not contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","Screen readers have a specific way of announcing lists. Ensuring proper list structure aids screen reader output. [Learn more about proper list structure](https://dequeuniversity.com/rules/axe/4.11/list).","Needs Manual Mapping","Other","High","Fail","0"
"https://www.dlsu.edu.ph/global/international-students/","74.0","color-contrast","Background and foreground colors do not have a sufficient contrast ratio.","Low-contrast text is difficult or impossible for many users to read. [Learn how to provide sufficient color contrast](https://dequeuniversity.com/rules/axe/4.11/color-contrast).","1.4.3 / 1.4.11","Visual Contrast","High","Fail","0"
"https://www.dlsu.edu.ph/global/international-students/","74.0","heading-order","Heading elements are not in a sequentially-descending order","Properly ordered headings that do not skip levels convey the semantic structure of the page, making it easier to navigate and understand when using assistive technologies. [Learn more about heading order](https://dequeuniversity.com/rules/axe/4.11/heading-order).","1.3.1","Structure","High","Fail","0"
"https://www.dlsu.edu.ph/global/international-students/","74.0","link-name","Links do not have a discernible name","Link text (and alternate text for images, when used as links) that is discernible, unique, and focusable improves the navigation experience for screen reader users. [Learn how to make links accessible](https://dequeuniversity.com/rules/axe/4.11/link-name).","2.4.4","Links","High","Fail","0"
"https://www.dlsu.edu.ph/global/international-students/","74.0","list","Lists do not contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","Screen readers have a specific way of announcing lists. Ensuring proper list structure aids screen reader output. [Learn more about proper list structure](https://dequeuniversity.com/rules/axe/4.11/list).","Needs Manual Mapping","Other","High","Fail","0"
"https://www.dlsu.edu.ph/about/","74.0","color-contrast","Background and foreground colors do not have a sufficient contrast ratio.","Low-contrast text is difficult or impossible for many users to read. [Learn how to provide sufficient color contrast](https://dequeuniversity.com/rules/axe/4.11/color-contrast).","1.4.3 / 1.4.11","Visual Contrast","High","Fail","0"
"https://www.dlsu.edu.ph/about/","74.0","heading-order","Heading elements are not in a sequentially-descending order","Properly ordered headings that do not skip levels convey the semantic structure of the page, making it easier to navigate and understand when using assistive technologies. [Learn more about heading order](https://dequeuniversity.com/rules/axe/4.11/heading-order).","1.3.1","Structure","High","Fail","0"
"https://www.dlsu.edu.ph/about/","74.0","link-name","Links do not have a discernible name","Link text (and alternate text for images, when used as links) that is discernible, unique, and focusable improves the navigation experience for screen reader users. [Learn how to make links accessible](https://dequeuniversity.com/rules/axe/4.11/link-name).","2.4.4","Links","High","Fail","0"
"https://www.dlsu.edu.ph/about/","74.0","list","Lists do not contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","Screen readers have a specific way of announcing lists. Ensuring proper list structure aids screen reader output. [Learn more about proper list structure](https://dequeuniversity.com/rules/axe/4.11/list).","Needs Manual Mapping","Other","High","Fail","0"
"https://www.dlsu.edu.ph/campus-life-landing/","82.0","heading-order","Heading elements are not in a sequentially-descending order","Properly ordered headings that do not skip levels convey the semantic structure of the page, making it easier to navigate and understand when using assistive technologies. [Learn more about heading order](https://dequeuniversity.com/rules/axe/4.11/heading-order).","1.3.1","Structure","High","Fail","0"
"https://www.dlsu.edu.ph/campus-life-landing/","82.0","link-name","Links do not have a discernible name","Link text (and alternate text for images, when used as links) that is discernible, unique, and focusable improves the navigation experience for screen reader users. [Learn how to make links accessible](https://dequeuniversity.com/rules/axe/4.11/link-name).","2.4.4","Links","High","Fail","0"
"https://www.dlsu.edu.ph/campus-life-landing/","82.0","list","Lists do not contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","Screen readers have a specific way of announcing lists. Ensuring proper list structure aids screen reader output. [Learn more about proper list structure](https://dequeuniversity.com/rules/axe/4.11/list).","Needs Manual Mapping","Other","High","Fail","0"
"https://old.dlsu.edu.ph/offices/registrar/academic-calendar/","91.0","color-contrast","Background and foreground colors do not have a sufficient contrast ratio.","Low-contrast text is difficult or impossible for many users to read. [Learn how to provide sufficient color contrast](https://dequeuniversity.com/rules/axe/4.11/color-contrast).","1.4.3 / 1.4.11","Visual Contrast","High","Fail","0"
"https://old.dlsu.edu.ph/offices/registrar/academic-calendar/","91.0","heading-order","Heading elements are not in a sequentially-descending order","Properly ordered headings that do not skip levels convey the semantic structure of the page, making it easier to navigate and understand when using assistive technologies. [Learn more about heading order](https://dequeuniversity.com/rules/axe/4.11/heading-order).","1.3.1","Structure","High","Fail","0"
